****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
www/qtproject.git	Repository for the qt-project.org website		8 months	summarylogtree
yocto/boot2qt-manifest.git	Unnamed repository; edit this file 'description' to name the repository.		5 weeks	summarylogtree
yocto/meta-boot2qt-aws.git	Boot2Qt layer for AWS EC2			summarylogtree
yocto/meta-boot2qt-qcom.git	Boot2Qt BSP layer for Qualcomm boards			summarylogtree
yocto/meta-boot2qt-renesas.git	Boot2Qt BSP layer for Renesas boards			summarylogtree
yocto/meta-boot2qt-riscv.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
yocto/meta-boot2qt-st.git	Boot2Qt BSP layer for ST boards			summarylogtree
yocto/meta-boot2qt-ti.git	Boot2Qt BSP layer for TI boards			summarylogtree
yocto/meta-boot2qt-toradex.git	Boot2Qt BSP layer for Toradex boards			summarylogtree
yocto/meta-boot2qt.git	Yocto layer for Boot2Qt		16 months	summarylogtree
yocto/meta-mingw.git	Vendor branches of http://git.yoctoproject.org/cgit/cgit.cgi/meta-mingw/			summarylogtree
yocto/meta-qt5.git	Vendor branches of https://github.com/meta-qt5/meta-qt5		16 months	summarylogtree
yocto/meta-qt6.git	Yocto layer for Qt6		16 months	summarylogtree
{graveyard}/qlogger.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qt-creator-historical.git	Private old history of Qt Creator.			summarylogtree
{graveyard}/qt-creator/plugin-fossil-scm.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qt-creator/plugin-haskel.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qt-historical.git	Private old history of Qt.			summarylogtree
{graveyard}/qtbinaryjson.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qtjsbackend.git	Qt JS Backend (obsolete)		16 months	summarylogtree
{graveyard}/qtjsondb.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qtmultimediakit.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qtphonon.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/qtx11support.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/quick3d.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{graveyard}/v4vm.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
{non-gerrit}/qt-labs/bm.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/bm2.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/coroutine.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/devdays-graphicssystem-plugin.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/devdays-windowsystem-server.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/devnet-examples.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/doctools.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
{non-gerrit}/qt-labs/doxygen2qthelp.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/graphics-dojo.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/itemviews-ng.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/kineticscroller.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/maemo5-homescreen.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/meespot.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/mobile-demos.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/modelviewer.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/nacl.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/opencl.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
